노래제목,가수,가사,요약,카테고리,
그날처럼,장덕철,"참 많은 시간이 흘러가고
넌 어떻게 사는지 참 궁금해
날 걱정하는 사람들에게
다 잊었단 거짓말하는 내가 참 미운 날
아름다운 이별은 세상에 없다지만
그때 내가 조금 더 너를
편하게 보내줬다면
다른 사람 또 만나 행복할 니가 가끔은
내 생각할 때에 지을 표정이 참 궁금해
날 보는 네 눈이 좋아서
얼굴 붉히며 딴청 피던
아름답던 그날처럼
좋은 사람 만나 사랑 받고
너도 이젠 웃을 수 있길
찬란했던 우리 그날처럼
비어있는 지갑에 음식점을 서성이면
월급날이라며 손잡아 이끌어주던
만 원짜리 커플링 고맙다며 펑펑 울던
과분한 네 사랑 받을 사람 참 부러워
날 보는 네 눈이 좋아서
얼굴 붉히며 딴청 피던
아름답던 그날처럼
좋은 사람 만나 사랑 받고
너도 이젠 웃을 수 있길
찬란했던 우리 그날처럼
문득 들려오는 너의 소식에
가끔씩은 혼자 울 수 있길
끝까지 이기적인 내가
이젠 나 없이도 괜찮다
너에게 듣고 싶던 말
좋은 사람 만나 미안해
다시 돌아갈 순 없지만
아름답던 우리 그날
","이별의 아픔과 상대방을 위한 소망, 후회 등을 담고 있으며, 특히 그날의 아름다웠던 순간을 회상하며 상대방이 행복해지기를 바라는 내용",이별,관계
안아줘,정준일,"서러운 맘을 못 이겨
잠 못 들던 어둔 밤을 또 견디고
내 절망관 상관없이
무심하게도 아침은 날 깨우네
상처는 생각보다 쓰리고
아픔은 생각보다 깊어가
널 원망하던 수많은 밤이
내겐 지옥같아
내 곁에 있어줘 내게 머물러줘
네 손을 잡은 날 놓치지 말아줘
이렇게 니가 한걸음 멀어지면
내가 한걸음 더 가면 되잖아
하루에도 수천번씩
니 모습을 되뇌이고 생각했어
내게 했던 모진 말들
그 싸늘한 눈빛 차가운 표정들
넌 참 예쁜 사람 이었잖아
넌 참 예쁜 사람 이었잖아
제발 내게 이러지 말아줘
넌 날 잘 알잖아
내 곁에 있어줘 내게 머물러줘
네 손을 잡은 날 놓치지 말아줘
이렇게 니가 한걸음 멀어지면
내가 한걸음 더 가면 되잖아
내겐 내가 없어 난 자신이 없어
니가 없는 하루 견딜 수가 없어
이젠 뭘 어떻게 해야 할지
모르겠어 니가 없는 난
그냥 날 안아줘 나를 좀 안아줘
아무 말 말고서 내게 달려와줘
외롭고 불안하기만 한 맘으로
이렇게 널 기다리고 있잖아
난 너를 사랑해 난 너를 사랑해
긴 침묵 속에서 소리 내 외칠게
어리석고 나약하기만 한 내 마음을","이별에 대한 서러움과 상처, 그리고 상대방에 대한 그리움을 담고 있는 곡",이별,관계
열애중,벤,"아직 이별 중인 나에겐
끝이 아닌 것만 같아서
다른 사랑 중인 너지만
나는 아직 너와 열애 중
나도 너만큼만 헤어지고 싶어
아니 너보다 더 행복하고 싶어
너는 어떻게 날 잊었는지 가르쳐줘
아직 이별 중인 나에게
난 아직 열애 중
누구보다 뜨겁게 사랑해 열애 중
헤어져도 헤어진 적 없어
언젠가 내가 너와 이별할 수 있을까
너만 모르게 나는 아직 너와 열애 중
매일 이별하고 있지만
아직 너를 기다리는 중
나도 너만큼만 못돼지고 싶어
아니 너보다 더 나빠지고 싶어
너는 어떻게 날 잊었는지 가르쳐줘
아직 이별 중인 나에게
난 아직 열애 중
누구보다 뜨겁게 사랑해 열애 중
헤어져도 헤어진 적 없어
언젠가 내가 너와 이별할 수 있을까
아무도 모르게 여기서 널 멈추면
정말 이별이 될까 봐
그게 마지막이 될까 봐
널 후회하는 중
누구보다 너를 많이 원망하는 중
미워해도 미워한 적 없어
언젠가 내가 너를 잊고 살 수 있을까
너만 모르게 나는 아직 너와 열애 중",아직 이별 중인 상태에서도 마치 여전히 사랑 중인 듯한 마음을 표현,이별,관계
헤어지는 중,펀치,"나를 사랑하나요 같은 곳을 보나요
이미 알고 있어요 아닌 걸 알죠
배우지 않았어도 이별은 알 수 있죠
사랑은 늘 더딘데
이별은 서둘러 오네요
너와 사랑했던 이 거리가
나를 눈물짓게 만들어
더 사랑한 사람이
원래 더 아파 노래처럼
다신 누구도 사랑하지마
결국 나만큼 아플테니
그땐 내가 없어 이젠 끝이야 안녕
찬 바람이 불어와 코 끝이 붉어지면
슬픈 노래를 불러
내가 젤 잘하는 거니까
내게 혼자 하는 사랑이란
나를 더 아프게 만들죠
이젠 내게 솔직해져야 해
끝내 난 너에게
슬픈 안녕을 말해야겠어
너를 그 자리에 두고서
나의 사랑 안녕 이젠 그대여 안녕
다시 돌아오지는마
같은 상처를 받기 너무 두려우니까
널 여전히 사랑해
가끔 널 생각해 생각해
우연히 만나면
그냥 모른 척 지나가줄래
나도 널 지운 척 할테니
이미 끝난 사랑 다시 안할래 안녕",이별과 아픔을 담은 노래,이별,관계
늦은 밤 너의 집 앞 골목길에서,노을,"오래되었어 그때 너의 웃음
너의 목소리 잊혀진거 같아
시간의 위로 그 말의 의미를 이젠 알아
아픈 니 얘기도 적당히 할 수 있어
그런데 이게 뭐랄까 난 난 술 한잔하면서
괜찮은 듯 얘기하며 널 털어냈는데
집으로 돌아오면서
한 번 더 떠오른 기억에
걸음을 멈춰 서서 이렇게 울고 있어
자연스럽게 발걸음을 돌려
나 바래다주던 익숙한 길을 가
밤이 깊어져서 아무것도 보이지 않아도
손을 흔들면서 인사하던 널 봤어
그런데 이게 뭐랄까 난 난 술 한잔하면서
괜찮은 듯 얘기하며 널 털어냈는데
집으로 돌아오면서
한 번 더 떠오른 기억에
걸음을 멈춰 서서 이렇게 울고 있어
아무도 없어서 참 다행이야
나 이렇게 편안히 너를 부를 수 있는 걸
외로운 위로겠지만
그래서 이젠 뭘 할까 난 난 널 생각했어도
괜찮은 듯 얘기하며 다 지워냈는데
집으로 돌아오면서
한 번 더 떠오른 추억에
걸음을 멈춰 서서 또다시 울고 있어",이별 후에도 너에 대한 추억이 떠오르며 상처를 감추려는 노래,이별,관계
어디에도,엠씨더맥스,"차가워진 눈빛을 바라보며
이별의 말을 전해 들어요
아무 의미 없던 노래 가사가
아프게 귓가에 맴돌아요
다시 겨울이 시작되듯이
흩어지는 눈 사이로
그대 내 맘에 쌓여만 가네
떠나지 말라는
그런 말도 하지 못하고
고개를 떨구던 뒷모습만
그대 내게 오지 말아요
두 번 다시 이런 사랑 하지 마요
그댈 추억하기보단 기다리는 게
부서진 내 맘이 더 아파와
다시 누군가를 만나서
결국 우리 사랑 지워내도
행복했던 것만 기억에 남아
나를 천천히 잊어 주기를
아무것도 마음대로 안 돼요
아픔은 그저 나를 따라와
밤새도록 커져 버린 그리움
언제쯤 익숙해져 가나요
많은 날들이 떠오르네요
우리가 나눴던 날들
애써 감추고 돌아서네요
떠나지 말라는
그런 말도 하지 못하고
고개를 떨구던 뒷모습만
그대 내게 오지 말아요
두 번 다시 이런 사랑 하지 마요
그댈 추억하기보단 기다리는 게
부서진 내 맘이 더 아파와
다시 누군가를 만나서
결국 우리 사랑 지워내도
행복했던 것만 기억에 남아
나를 천천히 잊어 주기를
부를 수도 없이 멀어진 그대가
지나치는 바람에도 목이 메어와
어디에도 그대가 살아서
우린 사랑하면 안 돼요
다가갈수록 미워지니까
행복했던 것만 기억에 남아
나를 천천히 잊어 가기를
사랑했던",이별의 아픈 감정과 추억에 매여 아픈 마음을 담은 노래,이별,관계
행복하지 말아요,엠씨더맥스,"왜 이리도 이 세상엔
이별이 많은지
왜 사랑이 힘든 건지 난
궁금했었죠
난 이제 또 다시 묻고 있죠
어떻게 견디는지
이 많은 슬픔 끝나긴 하는지
괜찮아요 다 그렇듯 이러다
말겠죠
이 가슴도 이 눈물도 다
가라 앉겠죠
더 안을수록 부서져 버릴
우리를 알고 있죠
보내는 일이 사랑이라는 걸
사랑해 사랑해 말해줄 시간이
아직도 많을 줄 알았죠
언젠가 누군가 그대를 가져갈
그 사람
벌써부터 나 부러워지네요
행복하지마요 행복하려면
사랑한 날 잊어야 하잖아
가시가 박힌듯 숨쉴때마다
눈물이 흘러와
사는게 사는 것이 아니죠
사랑하지마요 내가 아니면
누구와도 영원할 수 없어
그대를 그곳에 두고 온 것
그것만 기억하면 찾을 수 있죠
잠시 멈춰있는 사랑인 거죠
괜찮아요 웃어요
하루에도 나 몇번씩
마음이 바뀌죠
또 버리고 주워담고
오늘도 그래요
꼭 좋은 사람 만날 거라고
말하는 나였지만
나의 가슴은 그댈 잡고 있죠
사랑해 사랑해 나에게 말해줄
그대의 목소리
이제 들을 수 없겠죠
조금만 잠시만 머물다
올 것을 그대의
곁에 있는 그사람도 아나요
행복하지마요 행복 하려면
사랑한 날 잊어야 하잖아
가시가 박힌듯 숨쉴때마다
눈물이 흘러와
사는게 사는 것이 아니죠
사랑하지마요 내가 아니면
누구와도 영원할 수 없어
그대를 그곳에 두고 온 것
그것만 기억하면 찾을 수 있죠
잠시 멈춰있는 사랑인거죠
괜찮아요 웃어요
사랑하지마요 내가 아니면
누구와도 영원할 수 없어
그대를 그곳에 두고 온 것
그것만 기억하면 찾을 수 있죠
잠시 멈춰있는 사랑인거죠
괜찮아요 웃어요
이 눈물도 이 아픔도 우
괜찮죠",이별과 아픔에 대한 궁금증과 어려움을 담은 노래,이별,관계
My Way,(이수) 엠씨더맥스,"흐르는 물결이
내 발목에 감겨 나가면
깊은 곳에 숨겨둔 아픈 기억
모두 살아나고
어디에 기대 살아갈까
나를 스쳐가는
그 모든 것들이 상처인데
그댈 그린 밤들이
내게 욕심이란 걸 맘 아프게 알아
나를 택한 운명이
행여 그댈 맴돌아 붙잡지 못하게
이제 그대 곁에서 떠나가
내뱉는 숨마다
가시 돋친 고통이어서
깊은 곳에 숨겨둔 사랑 또한
그저 지워 내고
어디에 기대 살아갈까
나를 스쳐가는
그 모든 것들이 상처인데
그댈 그린 밤들이
내게 사치라는 걸 맘 아프게 알아
나를 택한 운명이
행여 그댈 맴돌아 붙잡지 못하게
이제 그대 곁에서 떠나가
언젠가 그대 곁에
다시 돌아갈 수 있다면
그때가 언제라도
나를 잊지 않았다면
그댈 그린 날들이
내게 마지막 남은 기쁨이었단 걸
내가 택한 운명이
다른 무엇이 아닌 그대뿐이라는 걸
이제 그대 곁에서 영원히","흐르는 물결과 상처, 사랑의 아픔을 담은 가사",이별,관계
나를 사랑했던 사람아,허각,"잘 지내고 있는건지 무슨 일 없는지
지겹던 너의 잔소리가 너무 그리워서
그렇게 나 하나밖에 모르던 너인데
나 없이도 괜찮은지
하루에 수백번씩 나 후회를 하고
네가 없다는걸 느끼며
나 매일을 살아
널 위해 내가 떠나야 하는게 맞지만
난 널 잊고 살 순 없는가봐
나를 사랑했던 사람아
이젠 곁에 없지만
아직 잊지 못하고 너를 잊지 못하고
그저 한번이라도 다시 볼 수 있다면
볼 수만 있다면
다시 널 볼 수 있다면
너무나도 아프고 잊을 수가 없어
하루에도 몇번씩 하던
너의 그 투정이
웃으며 내 품에 안겨서
날 보던 모습이
헤어지던 날 너의 두 눈이
나를 사랑했던 사람아
이젠 곁에 없지만
아직 잊지 못하고 너를 잊지 못하고
그저 한번이라도 다시 볼 수 있다면
널 볼 수만 있다면
네가 있어서
나는 항상 웃을 수 있었고
네가 있기에 내가 가장 행복했었고
너로 인해 내 삶도 살아볼만했었어
내가 너무도 사랑했던 사람아",이별 후에도 널 아프게 그리워하며 후회하는 마음을 담은 가사,이별,관계
나를 잊지 말아요,허각,"사랑이란 멀리 있는 것
눈에 보이면
가슴 아파 눈물이 나죠
그래서 널 떠나요 사랑을
사랑하려고 안녕 안녕 안녕
나를 잊지 말아요
일초를 살아도
그대 사랑하는 마음 하나 뿐이예요
그 하나를 위해서 슬픈 눈물
숨기고 떠나가는
나를 기억해주세요
나를 잊지 말아주세요
사랑한다는 한 마디도
못하고 가는
혼자 했던 사랑이
떠날 땐 편한 것 같아
안녕 안녕 안녕
제발 잊지 말아요
천년을 살아도
그대 사랑하는
마음뿐인 바보였죠
그대 핸드폰이
난 너무 부럽습니다
지금도 니 옆에 같이 있잖아요
혹시 이 세상에서
그댈 사랑한 사람이
한 사람 뿐이면
그건 나라는 걸
나라는 걸 기억해
나를 잊지 말아요
일초를 살아도
그대 사랑하는
마음하나 뿐이예요
그 하나를 위해서 슬픈 눈물
숨기고 떠나가는
나를 잊지 말아줘요
제발 잊지 말아요
천년을 살아도
그대 사랑하는
마음뿐인 바보 였죠
그대 핸드폰이
난 너무 부럽습니다
지금도 니 옆에 같이 있잖아요
나를 잊지 말아요",사랑이 아픈 감정과 이별의 마음을 담은 가사.,이별,관계
신촌을 못가,포스트맨,"신촌을 못가 한번을 못가
혹시 너와 마주칠까 봐
널 보면 눈물이 터질까 봐
친구들 한잔 하자고 또 꼬시며
불러대도 난 안가
아니 죽어도 못가
자주 갔었던 좋아했었던
사거리 그 포장마차가 그립다
니가 너무 그립다
새빨개진 그 얼굴로
날 사랑한다 했었던
그곳엘 내가 어떻게 가니
오늘 그 거리가 그리워 운다 또 운다
아직 많이 보고 싶나 봐
너도 어디선가 나처럼 울까 또 울까
그런 너를 마주칠까 신촌을 못가
데려다주던 아쉬워하던
막차 버스 안에서
우리 좋았지 우리 너무 좋았지
뒷자리 창가에 앉아
호 입김 불며 그리던 니 이름
그리고 널 사랑해 그걸 어떻게 잊니
오늘 그 거리가 그리워 운다 또 운다
아직 많이 보고 싶나 봐
너도 어디선가 나처럼 울까 또 울까
그런 너를 마주칠까 신촌을 못가
우리 둘만 있어도 좋았잖아
종일 땀이 찼던
두 손 뜨겁던 입맞춤도
다 거기 있잖아 다 살아 있잖아
오늘 이 노래를 부른다
Good bye and Good bye
이젠 너를 놓아 줄까 봐
마지막으로 널 부른다
사랑해 널 사랑해
너를 만난 그 곳은 참 행복했었다","신촌을 못가는데도 너를 마주칠까봐 두려워하며, 그리움과 아쉬움이 가득한 이별의 감정을 표현",이별,관계
신용재,하은,"매일 같은 옷을 입는 이유
너와 함께 입던 옷이라서
혹시 어디선가 알아보고
날 찾아줄까 봐
네가 좋아했던 옷을 입고
네가 좋아했던 가수처럼
노래하면 네가 볼 것 같아서
신용재를 따라 하고
따라 해도 안 되는 것처럼
사랑을 따라 하고
흉내 내도 안 되는 것처럼
목이 부서져라
이 노래를 불러도
너는 다시 돌아오질 않잖아
네가 그렇게도 좋아했었던
그 노래처럼
그때 네가 나를 떠난 이후
쉬지 않고 연습하는 이유
혹시 어디선가 들린다면
너 돌아볼까 봐
이제 우리 얘기가 돼버린
네가 좋아했던 노래들을
불러보면 네가 울 것 같아서
신용재를 따라 하고
따라 해도 안 되는 것처럼
사랑을 따라 하고
흉내 내도 안 되는 것처럼
목이 부서져라
이 노래를 불러도
너는 다시 돌아오질 않잖아
그때 그 노래처럼
아직 내가 너를 못 버리는 이유
여태 바보처럼 기다리는 이유
아직 내겐 사랑이라서
아무리 미친 듯이 불러봐도
넌 안 들리나 봐
이별은 연습하고 연습해도
안 되는 건가 봐
목이 부서져라 다시 너를 불러도
너는 내게 돌아오질 않잖아
네가 그렇게도 좋아했었던
그 노래처럼","이별 후에도 네가 좋아했던 노래와 습관을 계속 이어가며, 아직 너를 버릴 수 없어서 노래하고 연습하는 마음을 담은 가사",이별,관계
가수가 된 이유,신용재,"인터넷에 나를 쳐보면
이제 내 노래가 나와
내가 왜 굳이 이렇게
가수가 된지 넌 알까
유명하고팠던 이유는
오직 단 하나뿐이니까
니가 날 보고 날 알아듣고
내 생각하라고
TV에 나와 노래해
혹시 니가 볼까봐
날 들으면 날 본다면
날 찾아줄까봐
기를 쓰고 노래해
그 옛날의 널 위해
그때 다 하지 못했던
내 맘을 담아서
이렇게 노래해
못해부터 살다가까지
니가 없던 건 없으니까
솔직히 터놓고 말해
모두 너와 내 얘기니까
내 노랠 듣고 내가 울고
내가 슬퍼하고
혼자 미치는 나의 이유를
넌 알 것 같은데
TV에 나와 노래해
혹시 니가 볼까봐
날 들으면 날 본다면
날 찾아줄까봐
기를 쓰고 노래해
그 옛날의 널 위해
그때 다 하지 못했던
내 맘을 담아서
내 아픔과 내 눈물과
내 진심을 다해
내 맘 전한다면
너에게 들릴까
이 몇 분짜리 노래가
별거 아닌 가사가
니 귓가에 니 마음속에
울려 퍼지기를
미치도록 기도해 제발
니가 듣기를
이런 내 맘이 들리면
너 돌아오라고
눈물로 노래해",가수가 된 이유와 과거의 너에게 전하고자 하는 마음을 담은 노래,이별,관계
인연,이선희,"약속해요 이 순간이 다 지나고
다시 보게 되는 그날
모든걸 버리고 그대 곁에 서서
남은 길을 가리란 걸
인연이라고 하죠
거부 할 수가 없죠
내 생에 이처럼 아름다운 날
또 다시 올 수 있을까요
고달픈 삶의 길에 당신은 선물인걸
이 사랑이 녹슬지 않도록
늘 닦아 비출께요
취한듯 만남은 짧았지만
빗장 열어 자리했죠
맺지 못한데도 후회하지 않죠
영원한건 없으니까
운명이라고 하죠
거부 할 수가 없죠
내 생에 이처럼 아름다운 날
또 다시 올 수 있을까요
하고픈 말 많지만 당신은 아실테죠
먼길 돌아 만나게 되는 날
다신 놓지 말아요
이 생에 못다한 사랑
이 생에 못다한 인연
먼길 돌아 다시 만나는 날
나를 놓지 말아요","현재를 소중히 여기며 약속하고, 다가올 만남과 사랑을 기대하며 아름다운 순간들을 간직하고 싶은 마음을 담은 노래.
",이별,관계
술이야,바이브,"슬픔이 차올라서
한 잔을 채우다가
떠난 그대가 미워서
나 한참을 흉보다가
나 어느새 그대 말투
내가 하죠
난 늘 술이야
맨날 술이야
널 잃고 이렇게
내가 힘들 줄이야
이제 남남이야
정말 남이야
널잃고 이렇게 우린 영영
이젠 우리 둘은 남이야
슬픔이 차올라서
한 잔을 채우다가
떠난 그대가 미워서
나 한참을 흉보다가
또 다시 어느새
그대 말투 또 내가 하죠
난 늘 술이야 맨날 술이야
널 잃고 이렇게
내가 힘들 줄이야
이제 남남이야
정말 남이야
널 잃고 이렇게 우린
영영 이제 우리 둘은
술마시면 취하고
나 한 얘기를 또하고
이젠 너 남인줄도 모르고
너 하나 기다렸어
난 늘 술이야 맨날 술이야
널 잃고 이렇게
내가 힘들 줄이야
이제 남남이야 정말 남이야
널 잃고 이렇게 우리
영영 이젠 우리 둘은
정말 영영 이제
우리 둘은 남이야
저물어 가는
오늘도 난 술이야",이별의 아픔을 감당하며 스스로를 위로하는 과정을 담은 노래,이별,관계
포장마차,황인욱,"그대와 자주 가던 그 술집에
혼자 널 생각하며 소주 한잔해
그대가 좋아하던 김치찌개를
가만히 바라보다 눈물 한잔해
그 사람 왔었나요
아니 소식이라도
그녀에게 전해줘요
늘 지금처럼 기다린다고
포장마차 그때 그 자리에서
네가 있던 그곳에 서서
날 사랑한다 말했잖아
영원할 거라고 말했잖아
포장마차 그때 그 자리에서
돌아오라는 말을 다시
되뇌이고 되뇌어도
네가 돌아오지 않을 걸 알잖아
그 사람 왔었다면
혹시 혼자였나요
그녀에게 전해줘요
나 그때처럼 기다린다고
포장마차 그때 그 자리에서
네가 있던 그곳에 서서
날 사랑한다 말했잖아
영원할 거라고 말했잖아
포장마차 그때 그 자리에서
돌아오라는 말을 다시
되뇌이고 되뇌어도
네가 돌아오지 않을 걸 알잖아
다 잊으려고 노력해봐도
그게 잘 안되나봐
습관처럼 아니 예전처럼 우리
두 번 다시 돌아갈 수 없나요
내가 싫은 건가요
날 사랑한다 말했잖아
영원할 거라고 말했잖아
포장마차 그때 그 자리에서
네가 있던 그곳에 서서
날 사랑한다 말했잖아
영원할 거라고 말했잖아
그댈 다시 부르고 또 불러도
아무 말 없는 너를 다시
되뇌이고 되뇌어도
네가 돌아오지 않을 걸 알잖아",이별 후에도 그대를 기다리며 그림자처럼 살아가는 마음을 담은 노래,이별,관계
못해,포맨,"이제는 밥을 먹어도
눈물 없이는 삼키지 못해
억지로 먹고 먹어도 속이 늘 허전해
노랠 들어도 흥얼대지도 못해
영화를 봐도
내가 뭘 본 건 지 기억 못해
밥도 잘 먹지 못해 니가 생각날까봐
니 생각에 체할까봐
니가 떠난 후로 오늘도
눈물로 하루를 먹고 살아
버스도 타지 못해 누가 날 욕할까봐
우는 날 놀려댈까봐
아무 것도 못해
너 없인 나 혼자 살지 못해
이제는 술을 마셔도
눈물 없이는 마시지 못해
아무리 병을 비워도 너만 더 생각해
살아서 뭐해 넌 내 곁에 없는데
혼자 뭘 어째
아무것도 할 수 없는 난데
밥도 잘 먹지 못해 니가 생각날까봐
니 생각에 체할까봐
니가 떠난 후로 오늘도
눈물로 하루를 먹고 살아
버스도 타지 못해 누가 날 욕할까봐
우는 날 놀려댈까봐
아무것도 못해
너 없인 나 혼잔 살지 못해
너 없인 웃는 것도 난 못해
너 없인 걷는 것도 난 못해
아무 것도 아무 것도 못해
내겐 니 사랑이 필요해
혼자 살아서 뭐해 니가 더 잘 알잖아
너 없인 나 안 되잖아
너 밖에 몰라서 너 없인
밥조차 먹지 못하는 난데
차마 죽지도 못해 니가 돌아올까봐
언젠가 날 찾을까봐
아무 것도 못해
오늘도 내일도 너만 원해",이별로 상실감에 휩싸인 감정을 표현한 노래,이별,관계
살다가 한번쯤,포맨,"눈을 감기만 해도 눈물이 흘러
니가 보여서 많이 보고싶어서
I know 다 끝난 일인걸
같은 공간 같은 시간
같은 세상이지만
어딜 봐도 어딜 가도
너는 보이질 않아
살다가 한번쯤은 마주치기를
난 아직도 그곳에 살아
어디서 그 어디서 무얼하든지
건강하게 행복하게 살아
살아있단 것으로 정말 고마워
너의 소식이 내가 사는 이윤걸
I know 다 끝난 일인걸
다른 만남 다른 사람
사랑해도 괜찮아
누굴 만나 뭐가 됐건
너만 행복하면 돼
살다가 한번쯤은 마주치기를
난 아직도 그곳에 살아
어디서 그 어디서 무얼하든지
건강하게 행복하게 살아
한번만 딱 한번만 마주친다면
꼭 이 말 전해줄거야
태어나 너를 만나 고마웠다고
잘살라고 꼭 행복하라고",이별 후에도 그대를 기다리며 행복을 바라는 마음을 담은 노래,이별,관계
눈 떠보니 이별이더라,포맨,"분명 나는 꿈을 꾼 거다
눈 떠보니 이별이더라
휴대폰을 확인해 봤더니
다시 봐도 이별이더라
헛웃음만 흘러나왔고
두 다리는 풀려 버렸고
문득 스친 네 얼굴 생각나 눈물이
하염없이 쏟아지는데
대체 무슨 짓을 한 건데
엎질러진 물에
난 젖은 채로 꼼짝 못하고
그 수많은 이별 뒤에도
넌 분명히 사랑이었다 정말
내 옆에 있었잖아 늘 여기 있었잖아
네가 날 떠나가면 그냥 가버리면
이런 식이면 나 곤란한데
눈 떠보니 이별이더라
이건 절대 현실이 아니야
눈 감으면 꿈이 될 거야
애써 부정해봐도 이별이 맞잖아
눈물마저 말라버리고
네 이름만 중얼거리고
움직이지 못하고
웅크린 채 너만 외치고
그 수많은 이별 뒤에도
넌 분명히 사랑이었다 정말
내 옆에 있었잖아 늘 여기 있었잖아
네가 날 떠나가면 그냥 가버리면
이런 식이면 나 곤란한데
꿈만 같던 사랑도
다 이별하면 현실이야
알람 하나 없이 깨어나
한 번만 더 기회를 줘
다시 하면 잘할 텐데
내가 바보 같아 화가 나
참을 수가 없다
그 수많은 이별 뒤에도
당연하게 이별이 온다 정말
가슴을 찢어 놔도 네가 날 짓밟아도
나 아닌 딴 사람과 평생 사랑해도
나는 너 아니면 곤란한데
평생 나는 너 아니면 안 되는데
눈 떠보니 이별이더라",꿈에서 만난 사랑이 이별로 변해 현실을 마주한 아픈 감정을 담은 노래,이별,관계
가을 안부,먼데이 키즈,"어떠니 잘 지냈니 지난 여름
유난히도 힘에 겹더라 올핸
새벽녘엔 제법 쌀쌀한 바람이 어느덧
니가 좋아하던 그 가을이 와
사랑도 그러게 별수없나 봐
언제 그랬냐는 듯 계절처럼 변해가
그리워져 미치도록 사랑한 그날들이
내 잃어버린 날들이
참 많이 웃고 울었던 그때
그 시절의 우리
니가 떠올라 밤새
참 아프다 니가 너무 아프다
너를 닮은 이 시린 가을이 오면
보고 싶어서 너를 안고 싶어서
가슴이 너를 앓는다
어떠니 넌 괜찮니 지금쯤은
나를 잊고 편안해졌니 이젠
우습지 잘살길 바라면서도
막상 날 잊었을 널 떠올리면 서글퍼
그리워져 미치도록 사랑한 그날들이
내 잃어버린 날들이
참 많이 웃고 울었던 그때
그 시절의 우리
니가 떠올라 밤새
참 아프다 니가 너무 아프다
너를 닮은 이 시린 가을이 오면
보고 싶어서 너를 안고 싶어서
가슴이 너를 앓는다
너라는 계절 안에 살아
여전히 너를 꿈꾸며
고마워져 그 날들이
내 지나버린 날들이
추억은 짐이 아니라
살게 하는 힘이란 걸
가르쳐준 너니까
또 설렌다 아프도록 설렌다
너를 닮은 눈부신 가을이 오면
니가 떠올라 그리움이 차올라
눈물로 너를 앓는다
밤새 또 너를 앓는다","사랑했던 계절과 그리움, 아픔을 담은 노래",이별,관계
사랑이 식었다 말해도 돼,먼데이 키즈,"어떻게 보면 참
전쟁 같았다 우리
행복한 나날의
수만큼 아프게 했던
날들도 많았고
울렸던 날도 많았어
길었던 시간을 지켜줬던
너야
너를 너무 사랑해서
그게 멀어지게 한 걸까
어리숙한 내 잘못인가
사랑이 식었다고
솔직히 말해도 돼
가슴 뛰는 설렘이
네게
온 거라고 나보다
좋은 사람이
너에게 생긴 거라고
다른 핑계겠지
우린 안 맞는다고
질리게 들었어
네 맘이 떠나간 후로
혹시나 우리가
괜찮은 시절에 만나
잘해줬다면은
우리 조금은 다를까
너를 너무 사랑해서
그게 멀어지게 한 걸까
철이 없는 내 욕심인가
사랑이 식었다고
솔직히 말해도 돼
가슴 뛰는 설렘이
네게
온 거라고 나보다
좋은 사람이
너에게 생긴 거라고
아침이 까맣도록 취해
잊으려 날 망가뜨려도
남아 있는 너
나보다 더 어디 가
좋아서 떠난 거니
인정하려 해봐도
미워
내가 좀 더 잘나서
성공할 때쯤
네 앞에 서 볼게
그때 넌 홀로이기를","사랑과 이별, 자신의 부족함을 고백하는 노래.",이별,관계
니 소식,송하예,"그때의 우리 사랑
뜨겁고 치열했는데
끝나보니 남는건 미움뿐
몇번의 계절을 더
보내야 괜찮아 질까
미련이 듬뿍 남은 하루를 보내
친구들과 통화에
우연히 들은 니 소식
다른 사랑을 시작해
잘 지낸다고
한땐 소중했었고
많이 사랑했었던
우리둘은 이젠 남이 됐고
모르는 사람이야
넌 완벽히 잊었나봐
이렇게 넌 잘사는데
괜한 걱정을 했나봐
나만 힘든가봐
너도 내 소식을
전해 들었으면 좋겠어
아직은 좀 힘들어 한다는
미안한 마음갖고
가끔씩 날 생각해줘
그래야 내 맘이 좀
편할거 같아
니옆에 다른 사람
있다는게 참 낯설어
뭔지 모를 서운함은
이기적인 거니
한땐 소중했었고
많이 사랑했었던
우리둘은 이젠 남이 됐고
모르는 사람이야
넌 완벽히 잊었나봐
이렇게 넌 잘사는데
나만 끝을 미뤘나봐
나만 그랬나봐
솔직한 맘을 말하면
좋은 사랑 안했으면 해
가슴아프게 지내길 바랬어
너는 행복하겠지
많이 설레이겠지
나 없이도 웃는 니 모습에
이제야 실감이나
넌 완벽히 떠났나봐
확실히 날 떠났나봐
난 니가 너무 미워져
행복하지 말아줘
잘지내지 말아줘
좋은 사람 만나 다행이란
말은 거짓말이야
네 소식 들은 그날밤
펑펑 울다가 밤을 샜어
늦어버린걸 알지만
어쩔수 없나봐",감정의 엇갈림과 이별의 아픔을 담은 노래,이별,관계
